Title,Company,Location,Duration,Stipend,Apply By,Applicants,Skills Required,Perks,Number of Openings,Link
Caption Editing,Divyatarang International LLP,Surat,3 Months,2250 /month +  Incentives,17 Apr' 22,Be an early applicant,"American English , British English , English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Free snacks & beverages , Job offer , ",4,https://internshala.com/internship/detail/caption-editing-part-time-job-internship-at-surat-in-divyatarang-international-llp1648984770
Business Analysis (IT),Dough One Sources Private Limited,Delhi,4 Months,7500-12500 /month,17 Apr' 22,91 applicants,"Allegro Software , Data Analytics , Data Science , Machine Learning , Microsoft PowerApps , MongoDB , MS-Office , Node.js , Power BI , Python , Research and Analytics , User Interface (UI) Development , Wireframing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/business-analysis-it-part-time-job-internship-at-delhi-in-dough-one-sources-private-limited1648983490
Mobile App Development,Skyolane Digisolutions,Work From Home,3 Months,3000-6000 /month,18 Apr' 22,Be an early applicant,"Android , Firebase , Flutter , Kotlin , React Native , REST API , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/mobile-app-development-work-from-home-job-internship-at-skyolane-digisolutions1648981741
Content Writing,Aman Singh,Work From Home,3 Months,1000 /month +  Incentives,17 Apr' 22,27 applicants,"American English , Blogging , Creative Writing , English Proficiency (Written) , ","Certificate , Flexible work hours , Job offer , ",3,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-aman-singh1648837356
Social Media Marketing,Tealbox Digital,Work From Home,6 Months,7500-10000 /month,17 Apr' 22,130 applicants,"Creative Writing , Digital Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Social Media Marketing , ","Certificate , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-tealbox-digital1648832965
Content Writing,BetterLives Ventures,Gurgaon,6 Months,15000-20000 /month,17 Apr' 22,Be an early applicant,"Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/content-writing-part-time-job-internship-at-gurgaon-in-betterlives-ventures1648966461
Social Media Marketing,Happy60Plus,Delhi,3 Months,6700 /month,17 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",1,https://internshala.com/internship/detail/social-media-marketing-part-time-job-internship-at-delhi-in-happy60plus1648940225
Graphic Design,Happy60Plus,Work From Home,3 Months,3000 /month,17 Apr' 22,32 applicants,"Adobe Illustrator , Adobe Photoshop , UI & UX Design , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-happy60plus1648939916
Digital Marketing,Thaya Jewelry,Work From Home,3 Months,7000 /month,17 Apr' 22,81 applicants,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , Video Editing , Video Making , WordPress , ","Certificate , Job offer , ",2,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-thaya-jewelry1648936558
Graphic Design,DOTS,Mohali,6 Months,4000-7000 /month,17 Apr' 22,Be an early applicant,"Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe XD , CorelDRAW , Digital Marketing , Final Cut Pro , MS-Excel , Sketch , ","Certificate , Flexible work hours , Job offer , ",3,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-mohali-in-dots1648927406
Property Surveying,Tejarat Marketing,Noida,3 Months,6000 lump sum +  Incentives,16 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Job offer , ",5,https://internshala.com/internship/detail/property-surveying-part-time-job-internship-at-noida-in-tejarat-marketing1648923825
Teaching,YantroMitra Learning Technologies,Bangalore,3 Months,8000 /month,16 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , Online Teaching , Teaching , ","Certificate , Letter of recommendation , Flexible work hours , Free snacks & beverages , Job offer , ",20,https://internshala.com/internship/detail/teaching-part-time-job-internship-at-multiple-locations-in-yantromitra-learning-technologies1648923525
Android App Development,AnsrCoach,Work From Home,3 Months,1000-2000 /month,17 Apr' 22,60 applicants,"Android , Firebase , Java , Kotlin , XML , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/android-app-development-work-from-home-job-internship-at-ansrcoach1648912322
Business Development (Sales),Ajanta International,Mumbai,3 Months,5000-10000 /month,17 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",2,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-mumbai-in-ajanta-international1648905040
Social Media Marketing,PassionConnect,Work From Home,2 Months,5000 /month +  Incentives,17 Apr' 22,57 applicants,"Digital Marketing , Email Marketing , Facebook Marketing , Instagram Marketing , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",10,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-passionconnect1648893077
Graphic Design,Psyuni Trust,Lucknow,2 Weeks,5000 lump sum,17 Apr' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe Photoshop Lightroom CC , Adobe Premiere Pro , CorelDRAW , UI & UX Design , Video Editing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-lucknow-in-psyuni-trust1648888332
Software Engineering Training,Great Kapital,Work From Home,3 Months,40000 /month,16 Apr' 22,952 applicants,"Java , Spring MVC , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",5,https://internshala.com/internship/detail/software-engineering-training-work-from-home-job-internship-at-great-kapital1648885465
Front End (PHP) Development,Sud Goyal,Work From Home,3 Months,5000-10000 /month,16 Apr' 22,122 applicants,"AJAX , CodeIgniter , CSS , HTML , JavaScript , jQuery , MySQL , PHP , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",3,https://internshala.com/internship/detail/front-end-php-development-work-from-home-job-internship-at-sud-goyal1648817254
Marketing,Make In Brand (PWI),Thane,3 Months,2000 /month,16 Apr' 22,Be an early applicant,"Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Video Editing , ","Certificate , Letter of recommendation , Job offer , ",5,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-multiple-locations-in-make-in-brand-pwi1648817066
Business Development (Sales),Matrix Exports,Bangalore,6 Months,4000-6000 /month,17 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",6,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-bangalore-in-matrix-exports1648883470
Marketing,Matrix Exports,Bangalore,6 Months,5000-7000 /month,17 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Office , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",6,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-bangalore-in-matrix-exports1648883302
Business Development (Sales),Matrix Exports,Mysuru,6 Months,5000-7000 /month,17 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , MS-Excel , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",6,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-multiple-locations-in-matrix-exports1648883205
Graphic Design,Codfirm,Gurgaon,6 Months,15000 /month,17 Apr' 22,Be an early applicant,"Design Thinking , Digital Art , UI & UX Design , ","Informal dress code , 5 days a week , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-gurgaon-in-codfirm1648883146
Operations,Matrix Exports,Bangalore,3 Months,5000-10000 /month,16 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",20,https://internshala.com/internship/detail/operations-part-time-job-internship-at-bangalore-bengai-in-matrix-exports1648882958
International Business Development,Matrix Exports,Chennai,6 Months,5000-10000 /month,16 Apr' 22,30 applicants,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , Facebook Marketing , Instagram Marketing , MS-Excel , MS-Office , Search Engine Marketing (SEM) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",20,https://internshala.com/internship/detail/international-business-development-part-time-job-internship-at-multiple-locations-in-matrix-exports1648882905
Human Resources (HR),CoalShastra,Delhi,6 Months,6000 /month +  Incentives,17 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Job offer , ",5,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-delhi-in-coalshastra1648882849
International Business Development,Matrix Exports,Bangalore,6 Months,5000-7000 /month,16 Apr' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , Facebook Marketing , Instagram Marketing , MS-Excel , MS-Office , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",20,https://internshala.com/internship/detail/international-business-development-part-time-job-internship-at-bangalore-in-matrix-exports1648882826
Business Development (Sales),Naivo3D Solutions (KineticGreen),Lucknow,6 Months,3000 /month,16 Apr' 22,Be an early applicant,"Blender 3D , CAD , English Proficiency (Spoken) , MS-PowerPoint , Python , Robotics , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",10,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-multiple-locations-in-naivo3d-solutions-kineticgreen1648880559
Human Resources (HR),MentorBoxx,Chennai,1 Month,3000-4000 /month,16 Apr' 22,1000+ applicants,"American English , English Proficiency (Spoken) , English Proficiency (Written) , Tally , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",10,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-multiple-locations-in-mentorboxx1648879280
UI/UX Design,Skillzlearn,Faridabad,2 Months,5000 /month,16 Apr' 22,43 applicants,"Adobe Creative Suite , Adobe Illustrator , Adobe Photoshop , Adobe XD , Figma , Sketch , UI & UX Design , Wireframing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/ui-ux-design-part-time-job-internship-at-multiple-locations-in-skillzlearn1648859304
Painting,Maatti Handicraft,Delhi,1 Month,15000 /month,15 Apr' 22,38 applicants,"Painting , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/painting-part-time-job-internship-at-delhi-in-maatti-handicraft1648804506
Social Media Marketing,Zealth-AI,Work From Home,6 Months,6000 /month +  Incentives,16 Apr' 22,173 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",1,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-zealth-ai1648822159
Content Writing,Zealth-AI,Work From Home,6 Months,6000 /month +  Incentives,16 Apr' 22,100 applicants,"Blogging , Creative Writing , English Proficiency (Written) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-zealth-ai1648820810
Digital Marketing,Regal Uniforms,Work From Home,3 Months,4000 /month,15 Apr' 22,145 applicants,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-regal-uniforms1648806792
Content Writing,Expansive Solutions,Pune,6 Months,10000 /month,15 Apr' 22,Be an early applicant,"Creative Writing , MS-PowerPoint , MS-Word , Search Engine Marketing (SEM) , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",1,https://internshala.com/internship/detail/content-writing-part-time-job-internship-at-pune-in-expansive-solutions1648806449
Community Building,Shortcast,Work From Home,6 Months,5000 /month +  Incentives,15 Apr' 22,35 applicants,"Creative Writing , Sales and Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/community-building-work-from-home-job-internship-at-shortcast1648798841
Video Editing,Girl Power Talk,Chandigarh,6 Months,4000-8000 /month,18 Apr' 22,144 applicants,"Adobe Premiere Pro , ","Certificate , Letter of recommendation , Job offer , ",2,https://internshala.com/internship/detail/video-editing-part-time-job-internship-at-multiple-locations-in-girl-power-talk1648812040
Social Media Marketing,Expert School,Work From Home,3 Months,8000 /month,15 Apr' 22,148 applicants,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , ","Letter of recommendation , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-expert-school1648790606
Psychology,Expert School,Work From Home,3 Months,8000 /month,15 Apr' 22,241 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Office , ","Letter of recommendation , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/psychology-work-from-home-job-internship-at-expert-school1648790353
Content Writing,Top 5 Cricket,Work From Home,4 Months,3500 /month,16 Apr' 22,31 applicants,"Proofreading , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",3,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-top-5-cricket1648809784
Business Development (Sales),Go Study Free,Work From Home,3 Months,5000 /month,16 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",5,https://internshala.com/internship/detail/business-development-sales-work-from-home-job-internship-at-go-study-free1648809660
Digital Marketing,Akrati Jewels Incorporation,Jaipur,3 Months,8000-10000 /month,15 Apr' 22,120 applicants,"Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Job offer , ",20,https://internshala.com/internship/detail/digital-marketing-part-time-job-internship-at-jaipur-in-akrati-jewels-incorporation1648809610
Teaching & Counseling,Eat English,Work From Home,6 Months,1000 /month,15 Apr' 22,150 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , Hindi Proficiency (Spoken) , Hindi Proficiency (Written) , Online Teaching , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",10,https://internshala.com/internship/detail/teaching-counseling-work-from-home-job-internship-at-eat-english1648788734
Content Writing,Abacus Consultancy Services (ACS) Private Limited,Thane,3 Months,10000-15000 /month,16 Apr' 22,31 applicants,"Blogging , Creative Writing , Digital Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , Job offer , ",2,https://internshala.com/internship/detail/content-writing-part-time-job-internship-at-multiple-locations-in-abacus-consultancy-services-acs-private-limited1648807591
Social Media Marketing,VibeIn Mediatech,Work From Home,2 Months,4000 /month,15 Apr' 22,45 applicants,"Creative Writing , Digital Marketing , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",1,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-vibein-mediatech1648796168
Sales & Marketing,Omnis Healthcare Services Private Limited,Work From Home,2 Months,7000 /month,15 Apr' 22,56 applicants,,"Certificate , Flexible work hours , Job offer , ",10,https://internshala.com/internship/detail/sales-marketing-work-from-home-job-internship-at-omnis-healthcare-services-private-limited1648450421
Android App Development,Eventara Studio,Chennai,4 Months,10000 /month,16 Apr' 22,36 applicants,"Firebase , Flutter , PHP , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/android-app-development-part-time-job-internship-at-chennai-bangalore-in-eventara-studio1648803496
Computer Vision,RK Ventures,Delhi,2 Months,10000-14000 /month,15 Apr' 22,109 applicants,"Computer Vision , Machine Learning , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",1,https://internshala.com/internship/detail/computer-vision-part-time-job-internship-at-delhi-in-rk-ventures1648724888
Online English Teaching,Rajpuri Sanstha,Work From Home,2 Months,Unpaid,15 Apr' 22,84 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , Hindi Proficiency (Spoken) , Hindi Proficiency (Written) , Online Teaching , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",10,https://internshala.com/internship/detail/online-english-teaching-work-from-home-job-internship-at-rajpuri-sanstha1648786444
Social Media Marketing,Kleiba Private Limited,Work From Home,2 Months,1000 /month,16 Apr' 22,Be an early applicant,"Adobe Illustrator , Adobe Photoshop , Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Social Media Marketing , Video Editing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-kleiba-private-limited1648800133
Backend Development,Kleiba Private Limited,Work From Home,3 Months,7000-10000 lump sum,16 Apr' 22,80 applicants,"Node.js , ReactJS , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/backend-development-work-from-home-job-internship-at-kleiba-private-limited1648800005
Client Engagement,Korporate Ladders Career Management Services LLP,Work From Home,2 Months,1000 /month +  Incentives,15 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",10,https://internshala.com/internship/detail/client-engagement-work-from-home-job-internship-at-korporate-ladders-career-management-services-llp1648788120
Graphic Design,Magnificence By Shalini Beriwal,Work From Home,4 Months,5000 /month,16 Apr' 22,28 applicants,"Adobe Creative Suite , Adobe Illustrator , Adobe Photoshop , Adobe Photoshop Lightroom CC , CorelDRAW , UI & UX Design , ","Job offer , ",1,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-magnificence-by-shalini-beriwal1648799937
Graphic Design,Subham Panda,Work From Home,3 Months,1000 /month,15 Apr' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe Photoshop Lightroom CC , Adobe Premiere Pro , CorelDRAW , UI & UX Design , Video Editing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",15,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-subham-panda1648743907
Business Development (Sales),Skillarena Education Technologies,Work From Home,1 Month,10000 /month +  Incentives,15 Apr' 22,257 applicants,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",20,https://internshala.com/internship/detail/business-development-sales-work-from-home-job-internship-at-skillarena-education-technologies1648737933
WordPress Development,Solvoix,Work From Home,3 Months,2500-3000 /month,16 Apr' 22,59 applicants,"CSS , English Proficiency (Spoken) , English Proficiency (Written) , Hindi Proficiency (Spoken) , HTML , JavaScript , Search Engine Optimization (SEO) , WordPress , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",5,https://internshala.com/internship/detail/wordpress-development-work-from-home-job-internship-at-solvoix1648796619
Content Writing,Alba Smart Automation Private Limited,Delhi,2 Months,15000-20000 /month,15 Apr' 22,37 applicants,"Blogging , Creative Writing , English Proficiency (Written) , Online Teaching , Teaching , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/content-writing-part-time-job-internship-at-multiple-locations-in-alba-smart-automation-private-limited1648748640
Marketing,Zeus Hades Horizon,Silvassa,3 Months,5000 /month +  Incentives,15 Apr' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Hindi Proficiency (Spoken) , MS-Excel , MS-Office , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Job offer , ",5,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-multiple-locations-in-zeus-hades-horizon1648732706
Social Media Marketing,MacTrics Entertainment Private Limited,Work From Home,3 Months,1500 /month +  Incentives,15 Apr' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",3,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-mactrics-entertainment-private-limited1648728743
Digital Marketing,AbroEduShip,Work From Home,4 Weeks,500-1000 /week,15 Apr' 22,177 applicants,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-abroeduship1648729502
Business Development (Sales),Radiance Global Traders Private Limited,Chennai,3 Months,8000-12000 /month,20 Apr' 22,Be an early applicant,"Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , 5 days a week , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-chennai-in-radiance-global-traders-private-limited1648733602
Content Writing,PitchyDeck,Work From Home,3 Months,10000 /month,15 Apr' 22,Be an early applicant,"Creative Writing , English Proficiency (Spoken) , English Proficiency (Written) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",1,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-pitchydeck1648790686
Administration,MacTrics Entertainment Private Limited,Chennai,3 Months,2000 /month +  Incentives,15 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Office , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",1,https://internshala.com/internship/detail/administration-part-time-job-internship-at-chennai-in-mactrics-entertainment-private-limited1648729323
Graphic Design,Kaizen International,Ahmedabad,6 Months,2000-10000 /month,15 Apr' 22,Be an early applicant,"Adobe Illustrator , Adobe Photoshop , CorelDRAW , Microsoft Visual Studio , ","Certificate , Letter of recommendation , Informal dress code , Job offer , ",5,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-ahmedabad-in-kaizen-international1648790264
Marketing,MacTrics Entertainment Private Limited,Chennai,3 Months,3000 /month +  Incentives,15 Apr' 22,Be an early applicant,"Digital Marketing , English Proficiency (Spoken) , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",5,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-chennai-in-mactrics-entertainment-private-limited1648729129
Video Content Creation,RIGI,Delhi,2 Months,5000-10000 /month,15 Apr' 22,61 applicants,"Adobe After Effects , Final Cut Pro , Video Editing , ","Certificate , Letter of recommendation , Job offer , ",2,https://internshala.com/internship/detail/video-content-creation-part-time-job-internship-at-multiple-locations-in-rigi1648726437
Human Resources (HR),REGENT ORGANISATION,Surat,3 Months,3000 /month +  Incentives,15 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-surat-in-regent-organisation1648726661
Data Entry,Stirring Minds,Delhi,6 Months,3000-6000 /month,15 Apr' 22,209 applicants,,"Certificate , Letter of recommendation , Flexible work hours , Job offer , ",10,https://internshala.com/internship/detail/data-entry-part-time-job-internship-at-delhi-in-stirring-minds1648773574
Business Analytics,Stirring Minds,Delhi,2 Months,5000-10000 /month,15 Apr' 22,433 applicants,,"Certificate , Flexible work hours , Job offer , ",3,https://internshala.com/internship/detail/business-analytics-part-time-job-internship-at-delhi-in-stirring-minds1648772161
Business Development (Sales),MetroRide India,Bangalore,3 Months,12000-20000 /month,15 Apr' 22,Be an early applicant,"Client Relationship , English Proficiency (Spoken) , Kannada Proficiency (Spoken) , Telugu Proficiency (Spoken) , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-bangalore-in-metroride-india1648759027
Marketing,Tiesar Personal Care Private Limited,Chennai,2 Months,13000-17500 /month,15 Apr' 22,75 applicants,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Office , Social Media Marketing , Tamil Proficiency (Spoken) , Telugu Proficiency (Spoken) , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",4,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-multiple-locations-in-tiesar-personal-care-private-limited1648757092
React JS Development,Sud Goyal,Work From Home,2 Months,5000-10000 /month,15 Apr' 22,93 applicants,"ReactJS , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",4,https://internshala.com/internship/detail/react-js-development-work-from-home-job-internship-at-sud-goyal1648755377
Graphic Design,Aparna Sharma,Delhi,3 Months,7000 /month,15 Apr' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe Photoshop Lightroom CC , Adobe Premiere Pro , CorelDRAW , UI & UX Design , Video Editing , ","Certificate , Letter of recommendation , Informal dress code , Job offer , ",2,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-delhi-in-aparna-sharma1648634040
Human Resources (HR),HikerWolf,Work From Home,3 Months,5000 /month,15 Apr' 22,49 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , Recruitment , ","Certificate , Letter of recommendation , Job offer , ",2,https://internshala.com/internship/detail/human-resources-hr-work-from-home-job-internship-at-hikerwolf1648748191
Content Writing,Serpclimber,Work From Home,3 Months,5000 /month,15 Apr' 22,26 applicants,"Creative Writing , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",6,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-serpclimber1648741311
Digital Marketing,Atharva Infrastructures,Pune,6 Months,6000 /month,14 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Job offer , ",2,https://internshala.com/internship/detail/digital-marketing-part-time-job-internship-at-pune-in-atharva-infrastructures1648719277
Content Writing,CORPORATE STALWARTS,Work From Home,3 Months,2000-5000 /month,15 Apr' 22,Be an early applicant,"Blogging , Creative Writing , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-corporate-stalwarts1648732752
Business Development (Sales),Code Planet Technologies Private Limited,Jaipur,2 Months,7000-10000 /month,15 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",5,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-jaipur-in-code-planet-technologies-private-limited1648703700
Motion Graphics,Dr. Patkar's,Kolhapur,6 Months,5000-12000 /month,14 Apr' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Premiere Pro , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",5,https://internshala.com/internship/detail/motion-graphics-part-time-job-internship-at-multiple-locations-in-dr-patkars1648730210
